WP_011649834.1	SMc02793
WP_011651242.1	SMc00566
WP_003547038.1	SMc00567
WP_003547040.1	SMc00568
WP_028741778.1	SMc00569
WP_011651243.1	SMc00570
WP_011651244.1	SMc00571
WP_011651245.1	SMc00572
WP_003547058.1	SMc00573
WP_011651246.1	SMc00574
WP_011651247.1	SMc00575
WP_011651248.1	SMc00576
WP_003547062.1	SMc00577
WP_011651249.1	SMc00579
WP_011651250.1	SMc00580
WP_011651251.1	SMc00581
WP_011651252.1	SMc00582
WP_011651253.1	SMc00583
WP_003547077.1	SMc00584
WP_011651255.1	SMc00585
WP_011651256.1	SMc00586
WP_011651258.1	SMc00588
WP_011653212.1	SMc00589
WP_011651260.1	SMc00590
WP_011651262.1	SMc00593
WP_011651263.1	SMc00594
WP_003547097.1	SMc00595
WP_011651264.1	SMc00596
WP_011651265.1	SMc00597
WP_011651266.1	SMc00598
WP_011651267.1	SMc00599
WP_011651268.1	SMc00600
WP_003547103.1	SMc00601
WP_011651269.1	SMc00602
WP_011651270.1	SMc00603
WP_011651271.1	SMc00604
WP_011651272.1	SMc00605
WP_011651273.1	SMc00608
WP_028741442.1	SMc00609
WP_011651275.1	SMc00610
WP_011653422.1	SMc00611
WP_011653421.1	SMc00613
WP_011651277.1	SMc00614
WP_011651278.1	SMc00615
WP_011651279.1	SMc00616
WP_011651280.1	SMc00617
WP_011651281.1	SMc00618
WP_011651282.1	SMc00619
WP_011651283.1	SMc00620
WP_011651284.1	SMc00621
WP_011651285.1	SMc00622
WP_011651286.1	SMc01754
WP_011651287.1	SMc01756
WP_011651290.1	SMc01760
WP_011651291.1	SMc01761
WP_011651294.1	SMc01763
WP_003547148.1	SMc01764
WP_011651295.1	SMc01765
WP_011651296.1	SMc01766
WP_028741434.1	SMc01767
WP_003547156.1	SMc01768
WP_011651298.1	SMc01769
WP_011651299.1	SMc01770
WP_003547190.1	SMc01771
WP_011651300.1	SMc01772
WP_026158618.1	SMc01773
WP_011651310.1	SMc01774
WP_011652331.1	SMc01775
WP_011651309.1	SMc01776
WP_003547214.1	SMc01777
WP_011651311.1	SMc01778
WP_041936242.1	SMc01780
WP_011651313.1	SMc01781
WP_028741423.1	SMc01782
WP_011651315.1	SMc01783
WP_011651316.1	SMc01784
WP_011651317.1	SMc01785
WP_003547228.1	SMc01786
WP_028741422.1	SMc01787
WP_041936245.1	SMc01902
WP_011651336.1	SMc01791
WP_011651337.1	SMc01792
WP_011651338.1	SMc01793
WP_003547282.1	SMc01794
WP_011651339.1	SMc01795
WP_011651340.1	SMc01796
WP_011653053.1	SMc01798
WP_041936247.1	SMc01799
WP_011651341.1	SMc01800
WP_011651343.1	SMc01801
WP_041936248.1	SMc01802
WP_003558419.1	SMc01803
WP_003558420.1	SMc01804
WP_011651348.1	SMc01806
WP_011651349.1	SMc01807
WP_011651351.1	SMc01808
WP_011651352.1	SMc01809
WP_011651353.1	SMc01810
WP_041936249.1	SMc01812
WP_003548979.1	SMc01813
WP_003547334.1	SMc01903
WP_003547337.1	SMc01904
WP_003547341.1	SMc01905
WP_011651361.1	SMc01906
WP_173364434.1	SMc01907
WP_011649046.1	SMc01909
WP_041936250.1	SMc01911
WP_010055493.1	SMc01912
WP_003547368.1	SMc01913
WP_003558447.1	SMc01914
WP_011651369.1	SMc01915
WP_025394095.1	SMc01916
WP_011651370.1	SMc01917
WP_003547378.1	SMc01918
WP_041936251.1	SMc01919
WP_011651372.1	SMc01920
WP_003547383.1	SMc01921
WP_003547385.1	SMc01922
WP_011651373.1	SMc01923
WP_003547388.1	SMc01924
WP_011651374.1	SMc01925
WP_011651375.1	SMc01926
WP_011651376.1	SMc01927
WP_011651377.1	SMc01928
WP_011651378.1	SMc01929
WP_011651379.1	SMc01930
WP_028741386.1	SMc01931
WP_011651381.1	SMc01934
WP_011651382.1	SMc01935
WP_011651383.1	SMc01376
WP_011651385.1	SMc01375
WP_041936545.1	SMc01374
WP_041936252.1	SMc01373
WP_003558471.1	SMc01372
WP_003547430.1	SMc01371
WP_011651390.1	SMc01370
WP_003547442.1	SMc01369
WP_011651391.1	SMc01368
WP_011651392.1	SMc01366
WP_011651393.1	SMc01365
WP_011651394.1	SMc01364
WP_011651395.1	SMc01363
WP_011651396.1	SMc01362
WP_011651397.1	SMc01361
WP_011651398.1	SMc01360
WP_011651399.1	SMc01359
WP_028742072.1	SMc01357
WP_003539041.1	SMc01356
WP_011651679.1	SMc01355
WP_011651680.1	SMc01354
WP_003539052.1	SMc01353
WP_011651681.1	SMc01352
WP_011651684.1	SMc01351
WP_011651687.1	SMc01350
WP_011651688.1	SMc01349
WP_011651690.1	SMc01348
WP_011651691.1	SMc01347
WP_011651692.1	SMc01346
WP_011651693.1	SMc01345
WP_011651694.1	SMc01344
WP_011651695.1	SMc01343
WP_011651696.1	SMc01342
WP_041936291.1	SMc01340
WP_011652515.1	SMc01337
WP_011651400.1	SMc01336
WP_011651401.1	SMc01335
WP_011651402.1	SMc01334
WP_012756997.1	SMc01333
WP_011651413.1	SMc01332
WP_011651414.1	SMc01331
WP_011652305.1	SMc01330
WP_011651578.1	SMc01329
WP_041936701.1	SMc01328
WP_011651415.1	SMc01327
WP_041936487.1	SMc01325
WP_011651416.1	SMc01324
WP_003547514.1	SMc01323
WP_003547516.1	SMc01322
WP_003547518.1	SMc01321
WP_003547520.1	SMc01320
WP_003547522.1	SMc01319
WP_003547523.1	SMc01318
WP_011651419.1	SMc01317
WP_011651420.1	SMc01316
WP_011651421.1	SMc01315
WP_011424978.1	SMc01314
WP_011651422.1	SMc01313
WP_011651423.1	SMc01312
WP_003558535.1	SMc01311
WP_003547547.1	SMc01310
WP_003547548.1	SMc01309
WP_003547549.1	SMc01308
WP_003547550.1	SMc01307
WP_003547551.1	SMc01306
WP_003547552.1	SMc01305
WP_003547553.1	SMc01304
WP_003547554.1	SMc01303
WP_003547555.1	SMc01302
WP_003558545.1	SMc01301
WP_003547557.1	SMc01300
WP_003547558.1	SMc01299
WP_003547559.1	SMc01298
WP_003547560.1	SMc01297
WP_003547561.1	SMc01296
WP_003547562.1	SMc01295
WP_003547563.1	SMc01294
WP_003547564.1	SMc01293
WP_003547565.1	SMc01292
WP_003547566.1	SMc01291
WP_003547567.1	SMc01290
WP_003547569.1	SMc01289
WP_011651424.1	SMc01288
WP_011651425.1	SMc01287
WP_003547577.1	SMc01286
WP_003547579.1	SMc01285
WP_003558556.1	SMc01283
WP_011651427.1	SMc01282
WP_041936254.1	SMc01281
WP_011651432.1	SMc01280
WP_011651433.1	SMc01279
WP_011652115.1	SMc01278
WP_011652119.1	SMc01277
WP_011652120.1	SMc01276
WP_011652121.1	SMc01275
WP_011652122.1	SMc01274
WP_011649287.1	SMc01273
WP_011653599.1	SMc01272
WP_011652114.1	SMc01271
WP_011649286.1	SMc01270
WP_011654142.1	SMc01269
WP_028741290.1	SMc01268
WP_011652771.1	SMc01267
WP_011652770.1	SMc01266
WP_011652769.1	SMc01265
WP_011650003.1	SMc01264
WP_011652106.1	SMc01262
WP_011652105.1	SMc01261
WP_011652104.1	SMc01260
WP_011652103.1	SMc01258
WP_011652102.1	SMc01257
WP_011652098.1	SMc01256
WP_003559632.1	SMc00995
WP_011652097.1	SMc01068
WP_011652096.1	SMc00996
WP_041936331.1	SMc00997
WP_011652094.1	SMc00998
WP_003539887.1	SMc00999
WP_011652092.1	SMc01000
WP_011652091.1	SMc01001
WP_011652090.1	SMc01002
WP_011652089.1	SMc01003
WP_011652088.1	SMc01004
WP_011652087.1	SMc01005
WP_011652086.1	SMc01006
WP_028741302.1	SMc01007
WP_028741303.1	SMc01009
WP_011652084.1	SMc01010
WP_011652083.1	SMc01011
WP_011652082.1	SMc01012
WP_011652081.1	SMc01013
WP_011652080.1	SMc01015
WP_011652078.1	SMc01016
WP_011652077.1	SMc01017
WP_011652072.1	SMc01018
WP_011652071.1	SMc01019
WP_011652660.1	SMc01022
WP_011652070.1	SMc01023
WP_011652069.1	SMc01024
WP_003539844.1	SMc01025
WP_041936318.1	SMc01026
WP_011651828.1	SMc01027
WP_011651829.1	SMc01028
WP_011651830.1	SMc01029
WP_003539317.1	SMc01030
WP_011651831.1	SMc01031
WP_011651832.1	SMc01032
WP_011651833.1	SMc01033
WP_011651834.1	SMc01034
WP_011651835.1	SMc01035
WP_028742885.1	SMc01036
WP_003559117.1	SMc01037
WP_003539340.1	SMc01038
WP_011651838.1	SMc01039
WP_011651839.1	SMc01040
WP_011651840.1	SMc01041
WP_003539346.1	SMc01042
WP_003539347.1	SMc01043
WP_011651864.1	SMc01044
WP_011651865.1	SMc01045
WP_011651866.1	SMc01047
WP_003539403.1	SMc01048
WP_011651867.1	SMc01049
WP_011651868.1	SMc01051
WP_011651869.1	SMc01052
WP_041936569.1	SMc01053
WP_011651871.1	SMc01054
WP_011651872.1	SMc02124
WP_011651873.1	SMc02123
WP_003539571.1	SMc02122
WP_011651798.1	SMc02121
WP_011651799.1	SMc02120
WP_011651800.1	SMc02119
WP_011651801.1	SMc02118
WP_011651802.1	SMc02117
WP_011651803.1	SMc02116
WP_003539274.1	SMc02115
WP_011651804.1	SMc02114
WP_011651805.1	SMc02113
WP_003539277.1	SMc02112
WP_028742056.1	SMc02111
WP_017988219.1	SMc02110
WP_011651808.1	SMc02109
WP_028742055.1	SMc02106
WP_011651811.1	SMc02105
WP_011651812.1	SMc02104
WP_003539285.1	SMc02103
WP_011651813.1	SMc02102
WP_003539287.1	SMc02101
WP_011651815.1	SMc02100
WP_003539289.1	SMc02099
WP_011651816.1	SMc02098
WP_011651817.1	SMc02097
WP_011651818.1	SMc02096
WP_011651819.1	SMc02095
WP_032984271.1	SMc02094
WP_011651821.1	SMc02093
WP_003539296.1	SMc02092
WP_011651822.1	SMc02091
WP_011651823.1	SMc02090
WP_011651824.1	SMc02089
WP_003539304.1	SMc02087
WP_041936565.1	SMc02086
WP_011651644.1	SMc02083
WP_011654320.1	SMc02082
WP_011651645.1	SMc02081
WP_011651646.1	SMc02080
WP_011651647.1	SMc02079
WP_011651648.1	SMc02078
WP_011651649.1	SMc02077
WP_011655057.1	SMc02076
WP_003538958.1	SMc02075
WP_011651650.1	SMc02074
WP_011651651.1	SMc02073
WP_173364436.1	SMc02072
WP_011651653.1	SMc02071
WP_028742082.1	SMc02070
WP_011651655.1	SMc02069
WP_003538990.1	SMc02067
WP_011651656.1	SMc02066
WP_011651657.1	SMc02065
WP_011651658.1	SMc02064
WP_011651659.1	SMc02063
WP_011651660.1	SMc02062
WP_028742081.1	SMc02060
WP_011651662.1	SMc02059
WP_003539006.1	SMc02058
WP_011651663.1	SMc02057
WP_011651664.1	SMc02056
WP_041936290.1	SMc02055
WP_011651666.1	SMc02054
WP_011651667.1	SMc02053
WP_003539017.1	SMc02052
WP_003548073.1	SMc02051
WP_011651670.1	SMc02050
WP_011652127.1	SMc02049
WP_003539971.1	SMc02048
WP_011652126.1	SMc02047
WP_011652124.1	SMc01242
WP_011651566.1	SMc01237
WP_011651964.1	SMc01236
WP_011651966.1	SMc01235
WP_011651967.1	SMc01233
WP_011651968.1	SMc01232
WP_011651969.1	SMc01231
WP_011651622.1	SMc01230
WP_011651076.1	SMc01229
WP_011652914.1	SMc01228
WP_011652913.1	SMc01227
WP_011652911.1	SMc01226
WP_028740720.1	SMc01225
WP_011652909.1	SMc01224
WP_003541645.1	SMc01223
WP_028743318.1	SMc01220
WP_011652905.1	SMc01219
WP_003541639.1	SMc01218
WP_041936228.1	SMc01217
WP_011652902.1	SMc01215
WP_011650428.1	SMc01214
WP_011652899.1	SMc01213
WP_011652897.1	SMc01212
WP_011652896.1	SMc01211
WP_011651971.1	SMc01209
WP_011651972.1	SMc01700
WP_003539661.1	SMc01208
WP_011651973.1	SMc01207
WP_011651974.1	SMc01206
WP_011653276.1	SMc01204
WP_011653274.1	SMc01203
WP_028743236.1	SMc01202
WP_011653272.1	SMc01200
WP_011653271.1	SMc01698
WP_049778376.1	SMc02814
WP_011651996.1	SMc01198
WP_041936326.1	SMc01196
WP_011652033.1	SMc01194
WP_011652034.1	SMc01193
WP_011652035.1	SMc01192
WP_011650753.1	SMc01191
WP_011652037.1	SMc01190
WP_011652038.1	SMc01189
WP_011652039.1	SMc01188
WP_011652040.1	SMc01187
WP_011651826.1	SMc01183
WP_017991186.1	SMc01180
WP_011654287.1	SMc01177
WP_011652955.1	SMc01176
WP_011651598.1	SMc01175
WP_011651596.1	SMc01174
WP_041936282.1	SMc01173
WP_011651595.1	SMc01172
WP_011651594.1	SMc01171
WP_011651591.1	SMc01170
WP_011651585.1	SMc01169
WP_011651584.1	SMc01168
WP_041936280.1	SMc04449
WP_003538786.1	SMc00935
WP_011651573.1	SMc00936
WP_017992985.1	SMc00940
WP_003541669.1	SMc00942
WP_003538774.1	SMc00943
WP_011651571.1	SMc00944
WP_011651569.1	SMc00945
WP_011651962.1	SMc00946
WP_003539626.1	SMc00947
WP_011651961.1	SMc00948
WP_003539613.1	SMc00949
WP_011651960.1	SMc00950
WP_011651959.1	SMc00951
WP_011651958.1	SMc00952
WP_011650961.1	SMc00954
WP_011651456.1	SMc00956
WP_011650897.1	SMc00958
WP_011651956.1	SMc04450
WP_011651955.1	SMc00227
WP_011651954.1	SMc00228
WP_011651953.1	SMc00229
WP_011652332.1	SMc00230
WP_011651951.1	SMc00232
WP_011652969.1	SMc00233
WP_011652052.1	SMc00234
WP_011652053.1	SMc00235
WP_011652054.1	SMc00236
WP_011652055.1	SMc00237
WP_011652056.1	SMc00238
WP_011651032.1	SMc00240
WP_011651950.1	SMc00241
WP_011651947.1	SMc00242
WP_011651946.1	SMc00244
WP_011651945.1	SMc00243
WP_011651944.1	SMc00245
WP_011651943.1	SMc00246
WP_011651942.1	SMc00247
WP_011651874.1	SMc00316
WP_011651875.1	SMc00317
WP_011651885.1	SMc00248
WP_003548716.1	SMc00251
WP_011652044.1	SMc00252
WP_011653146.1	SMc00253
WP_028741549.1	SMc00259
WP_011650725.1	SMc00267
WP_011652257.1	SMc00268
WP_011652253.1	SMc00269
WP_011652254.1	SMc00270
WP_011654687.1	SMc00283
WP_028741026.1	SMc04866
WP_003539138.1	SMc00287
WP_011651707.1	SMc00288
WP_003539135.1	SMc00289
WP_011651706.1	SMc00290
WP_011651705.1	SMc00291
WP_041936292.1	SMc00292
WP_011651702.1	SMc00293
WP_028742066.1	SMc00294
WP_011651700.1	SMc00295
WP_011651699.1	SMc00296
WP_003558931.1	SMc00298
WP_011651676.1	SMc00299
WP_011651674.1	SMc00300
WP_011652130.1	SMc00301
WP_003559708.1	SMc00302
WP_011652131.1	SMc00533
WP_041936335.1	SMc00532
WP_003539985.1	SMc00531
WP_003539987.1	SMc00530
WP_011652134.1	SMc00529
WP_003540001.1	SMc00528
WP_011650101.1	SMc05006
WP_011652137.1	SMc00527
WP_011652138.1	SMc00526
WP_041936336.1	SMc00525
WP_011652141.1	SMc00524
WP_011652142.1	SMc00523
WP_011652143.1	SMc00539
WP_011652144.1	SMc00522
WP_011652145.1	SMc00521
WP_011652146.1	SMc00520
WP_041936991.1	SMc00519
WP_011649073.1	SMc00518
WP_003559728.1	SMc00514
WP_011652147.1	SMc00513
WP_011650038.1	SMc00512
WP_003559730.1	SMc00511
WP_011652148.1	SMc00510
WP_086935549.1	SMc00509
WP_011652150.1	SMc00508
WP_011651582.1	SMc00507
WP_003540054.1	SMc00506
WP_011652152.1	SMc00505
WP_011649050.1	SMc00504
WP_011652379.1	SMc00503
WP_011652377.1	SMc00502
WP_011652380.1	SMc00501
WP_011652376.1	SMc00497
WP_011651886.1	SMc00496
WP_003540062.1	SMc00495
WP_028741254.1	SMc00494
WP_003540067.1	SMc00493
WP_003540068.1	SMc00492
WP_017988467.1	SMc00491
WP_011652155.1	SMc00490
WP_011652157.1	SMc00488
WP_003540079.1	SMc00487
WP_003540084.1	SMc00538
WP_032992516.1	SMc00537
WP_011652161.1	SMc00536
WP_011652164.1	SMc00535
WP_011652166.1	SMc00534
WP_011652167.1	SMc00486
WP_003540107.1	SMc00485
WP_011652168.1	SMc00484
WP_011652170.1	SMc00483
WP_011652171.1	SMc00482
WP_011652172.1	SMc00481
WP_011652174.1	SMc00480
WP_011652179.1	SMc00475
WP_003540131.1	SMc00760
WP_011652180.1	SMc00473
WP_003559809.1	SMc00472
WP_011652182.1	SMc00471
WP_011652183.1	SMc00470
WP_003559816.1	SMc00469
WP_011652185.1	SMc00468
WP_011652186.1	SMc00467
WP_011652187.1	SMc00466
WP_003540146.1	SMc00548
WP_011652188.1	SMc00465
WP_003540148.1	SMc00463
WP_011652189.1	SMc00462
WP_017960676.1	SMc00194
WP_003540151.1	SMc00192
WP_003540152.1	SMc00191
WP_011652192.1	SMc00190
WP_011652961.1	SMc00189
WP_011652962.1	SMc00188
WP_003541752.1	SMc00187
WP_011652965.1	SMc00186
WP_011652967.1	SMc00185
WP_011652968.1	SMc00184
WP_011653778.1	SMc00183
WP_011653777.1	SMc00182
WP_086935543.1	SMc00196
WP_003541775.1	SMc00181
WP_011652970.1	SMc00180
WP_011653752.1	SMc00179
WP_011652196.1	SMc00177
WP_003540159.1	SMc00176
WP_011652197.1	SMc00175
WP_011652198.1	SMc00174
WP_011652199.1	SMc00459
WP_011652200.1	SMc00172
WP_024321852.1	SMc00171
WP_011652209.1	SMc00169
WP_011652863.1	SMc00170
WP_011654568.1	SMc00168
WP_011652211.1	SMc00167
WP_041936343.1	SMc00166
WP_011653635.1	SMc00165
WP_011653634.1	SMc00164
WP_011653633.1	SMc00163
WP_011652225.1	SMc00162
WP_011652226.1	SMc00161
WP_028741501.1	SMc00157
WP_041936346.1	SMc00156
WP_003540243.1	SMc00155
WP_011652231.1	SMc00154
WP_011652234.1	SMc00153
WP_003540249.1	SMc00152
WP_011652235.1	SMc00151
WP_011652236.1	SMc00150
WP_011652237.1	SMc00149
WP_011652242.1	SMc00148
WP_011652243.1	SMc00147
WP_011652244.1	SMc00146
WP_041936581.1	SMc00145
WP_041936687.1	SMc00144
WP_011652260.1	SMc00197
WP_011652261.1	SMc00143
WP_011652262.1	SMc00142
WP_011652284.1	SMc00141
WP_011652285.1	SMc00140
WP_011652286.1	SMc00139
WP_011652287.1	SMc00138
WP_003540344.1	SMc00137
WP_011650911.1	SMc00136
WP_011652288.1	SMc00135
WP_041936350.1	SMc00134
WP_011652303.1	SMc00133
WP_011652304.1	SMc00132
WP_003540387.1	SMc00131
WP_011652307.1	SMc04210
WP_011652308.1	SMc04211
WP_011652309.1	SMc04212
WP_011652310.1	SMc04213
WP_011652311.1	SMc04214
WP_011652312.1	SMc04215
WP_041936352.1	SMc04216
WP_011652313.1	SMc04217
WP_003540416.1	SMc04218
WP_003540418.1	SMc04219
WP_028741085.1	SMc04225
WP_011652452.1	SMc04227
WP_003540707.1	SMc04228
WP_011652453.1	SMc04229
WP_011652456.1	SMc04230
WP_011652476.1	SMc04231
WP_026160345.1	SMc04233
WP_003540801.1	SMc04234
WP_011652483.1	SMc04235
WP_011650393.1	SMc04238
WP_011653303.1	SMc04239
WP_011652675.1	SMc04241
WP_011652680.1	SMc04242
WP_011652681.1	SMc04243
WP_011652682.1	SMc04244
WP_028740915.1	SMc04245
WP_011652686.1	SMc04246
WP_011652317.1	SMc04247
WP_041936471.1	SMc04248
WP_011653546.1	SMc04249
WP_122330847.1	SMc04250
WP_011653547.1	SMc04251
WP_011652318.1	SMc04252
WP_011652319.1	SMc04253
WP_011652320.1	SMc04254
WP_011652321.1	SMc04255
WP_003540428.1	SMc04256
WP_011652322.1	SMc04257
WP_003540432.1	SMc04258
WP_011652323.1	SMc04259
WP_011652324.1	SMc04260
WP_032993603.1	SMc04261
WP_011652334.1	SMc04262
WP_011652404.1	SMc04263
WP_011652335.1	SMc04264
WP_011652336.1	SMc04265
WP_011652337.1	SMc04266
WP_011652339.1	SMc04268
WP_011652340.1	SMc04270
WP_011652341.1	SMc04273
WP_011652342.1	SMc04275
WP_011652343.1	SMc04277
WP_003540486.1	SMc04278
WP_011652347.1	SMc04279
WP_011652348.1	SMc04281
WP_011652349.1	SMc04282
WP_011652350.1	SMc04284
WP_041936356.1	SMc04285
WP_011655182.1	SMc04288
WP_011655183.1	SMc04290
WP_011655184.1	SMc04293
WP_011655185.1	SMc04294
WP_011655186.1	SMc04295
WP_011655187.1	SMc04297
WP_011655188.1	SMc04301
WP_011652355.1	SMc04302
WP_011652356.1	SMc04303
WP_011652357.1	SMc04304
WP_028741140.1	SMc04305
WP_041936468.1	SMc04306
WP_041936612.1	SMc04307
WP_011651011.1	SMc04308
WP_028741139.1	SMc04309
WP_011652363.1	SMc04311
WP_011649276.1	SMc04439
WP_011653470.1	SMc04315
WP_011652507.1	SMc04328
WP_003540537.1	SMc04332
WP_018445292.1	SMc05020
WP_011650701.1	SMc04336
WP_011650761.1	SMc04451
WP_011652365.1	SMc04163
WP_028741119.1	SMc04164
WP_173364435.1	SMc04165
WP_041936231.1	SMc04167
WP_003546569.1	SMc04168
WP_003540607.1	SMc04169
WP_032992458.1	SMc04170
WP_011652480.1	SMc04171
WP_011649264.1	SMc04172
WP_011652777.1	SMc04173
WP_017994411.1	SMc04174
WP_011652032.1	SMc04175
WP_011652413.1	SMc04176
WP_041936527.1	SMc04177
WP_011652414.1	SMc04178
WP_011649008.1	SMc04179
WP_011650349.1	SMc04181
WP_041936448.1	SMc04182
WP_003560448.1	SMc04188
WP_007632343.1	SMc04189
WP_011650853.1	SMc04196
WP_011650846.1	SMc04198
WP_011651077.1	SMc04201
WP_011649788.1	SMc04202
WP_011649093.1	SMc04203
WP_011653265.1	SMc04209
WP_011652693.1	SMc04271
WP_011652694.1	SMc04272
WP_003541181.1	SMc04274
WP_011652525.1	SMc04276
WP_041937001.1	SMc04280
WP_041937010.1	SMc04283
WP_011649261.1	SMc04287
WP_011649262.1	SMc04289
WP_011652582.1	SMc04296
WP_011652695.1	SMc04300
WP_011652696.1	SMc04316
WP_011652697.1	SMc04317
WP_003546468.1	SMc04318
WP_011651016.1	SMc04319
WP_003546477.1	SMc04320
WP_011652290.1	SMc04321
WP_011652700.1	SMc04322
WP_011652702.1	SMc04323
WP_011652768.1	SMc04343
WP_003560822.1	SMc04346
WP_011652708.1	SMc04348
WP_011651938.1	SMc04350
WP_011651939.1	SMc04351
WP_011653505.1	SMc04359
WP_011649194.1	SMc04361
WP_011653063.1	SMc04362
WP_011649193.1	SMc04363
WP_011652715.1	SMc04452
WP_003541227.1	SMc01403
WP_011652716.1	SMc01404
WP_011652720.1	SMc01493
WP_011652721.1	SMc01405
WP_003546717.1	SMc01488
WP_011651124.1	SMc01406
WP_011652722.1	SMc01407
WP_011654952.1	SMc01408
WP_003549546.1	SMc01410
WP_011649601.1	SMc01489
WP_011655000.1	SMc01490
WP_011655001.1	SMc01411
WP_041936897.1	SMc01412
WP_049778476.1	SMc01413
WP_041936898.1	SMc01491
WP_003541249.1	SMc01414
WP_011652762.1	SMc01415
WP_011654620.1	SMc01416
WP_011652733.1	SMc01418
WP_011652734.1	SMc01419
WP_011652735.1	SMc01420
WP_011652736.1	SMc01422
WP_011652737.1	SMc01423
WP_011652738.1	SMc01424
WP_011652741.1	SMc01425
WP_011652889.1	SMc01426
WP_011651017.1	SMc01427
WP_011652742.1	SMc01429
WP_011652743.1	SMc01430
WP_003541291.1	SMc01431
WP_011651731.1	SMc01432
WP_086935557.1	SMc01435
WP_011652749.1	SMc01494
WP_011655199.1	SMc01437
WP_041936393.1	SMc01438
WP_011652752.1	SMc01440
WP_011652753.1	SMc01441
WP_011652754.1	SMc01442
WP_011652755.1	SMc01444
WP_003541317.1	SMc01450
WP_011652756.1	SMc01451
WP_011652757.1	SMc01452
WP_011652758.1	SMc01454
WP_011652759.1	SMc01455
WP_011652766.1	SMc01457
WP_011652767.1	SMc01458
WP_086935632.1	SMc01460
WP_011652773.1	SMc01461
WP_011652175.1	SMc01462
WP_011652782.1	SMc01465
WP_003541378.1	SMc01468
WP_041936396.1	SMc01471
WP_011652780.1	SMc01472
WP_011652779.1	SMc01885
WP_003541364.1	SMc01883
WP_003541361.1	SMc01882
WP_011649132.1	SMc01881
WP_011649131.1	SMc01880
WP_011652732.1	SMc01879
WP_011652785.1	SMc01878
WP_011652787.1	SMc01877
WP_011652788.1	SMc01876
WP_011652789.1	SMc01875
WP_011652790.1	SMc01874
WP_003561012.1	SMc01873
WP_041936397.1	SMc01872
WP_011652792.1	SMc01871
WP_011652793.1	SMc01870
WP_041936398.1	SMc01869
WP_003541407.1	SMc01868
WP_011652796.1	SMc01867
WP_011652797.1	SMc01866
WP_011652798.1	SMc01865
WP_011652799.1	SMc01864
WP_003541415.1	SMc01863
WP_011652800.1	SMc01862
WP_173364444.1	SMc01861
WP_011652802.1	SMc01860
WP_011652803.1	SMc01859
WP_011652804.1	SMc01858
WP_011652805.1	SMc01857
WP_011652806.1	SMc01856
WP_011652808.1	SMc01855
WP_011652809.1	SMc01854
WP_011652810.1	SMc01853
WP_011652811.1	SMc01852
WP_011652812.1	SMc01851
WP_041936399.1	SMc01850
WP_011652814.1	SMc01849
WP_011652815.1	SMc01848
WP_011652816.1	SMc01847
WP_011652817.1	SMc01846
WP_011652818.1	SMc01845
WP_011652819.1	SMc01844
WP_011652820.1	SMc01843
WP_011652821.1	SMc01842
WP_011652822.1	SMc04454
WP_028740846.1	SMc02819
WP_011652824.1	SMc02818
WP_011652825.1	SMc02817
WP_011652827.1	SMc04455
WP_011652829.1	SMc01573
WP_011652830.1	SMc01574
WP_028740841.1	SMc01575
WP_011653939.1	SMc01576
WP_011652832.1	SMc01579
WP_011652833.1	SMc01582
WP_011652834.1	SMc01588
WP_011652835.1	SMc01594
WP_011652836.1	SMc01597
WP_028740666.1	SMc01600
WP_011652838.1	SMc01602
WP_011652839.1	SMc01605
WP_003541488.1	SMc01606
WP_003541491.1	SMc01607
WP_011652841.1	SMc01608
WP_011652658.1	SMc01609
WP_011648991.1	SMc01613
WP_011648990.1	SMc01614
WP_003550814.1	SMc01615
WP_011648988.1	SMc01616
WP_011648987.1	SMc01620
WP_028742486.1	SMc01623
WP_011648807.1	SMc01628
WP_011648989.1	SMc01629
WP_011654399.1	SMc01636
WP_011654400.1	SMc01637
WP_011654401.1	SMc01638
WP_011654402.1	SMc01639
WP_011654403.1	SMc01640
WP_011654404.1	SMc01641
WP_011654405.1	SMc01642
WP_003538489.1	SMc01643
WP_011654406.1	SMc01644
WP_011654407.1	SMc01645
WP_011654408.1	SMc01648
WP_011654409.1	SMc01650
WP_011653589.1	SMc01651
WP_003543051.1	SMc01652
WP_003543052.1	SMc01653
WP_003543053.1	SMc01654
WP_011653590.1	SMc01655
WP_011653591.1	SMc01656
WP_011649096.1	SMc01657
WP_011649095.1	SMc01658
WP_011652249.1	SMc01659
WP_003550455.1	SMc01666
WP_011653987.1	SMc01667
WP_049778479.1	SMc01668
WP_011648864.1	SMc01669
WP_028740480.1	SMc01670
WP_011653934.1	SMc01671
WP_011653104.1	SMc01540
WP_011653106.1	SMc01541
WP_041936423.1	SMc01542
WP_011653107.1	SMc01543
WP_011650909.1	SMc02813
WP_041936207.1	SMc01546
WP_011651837.1	SMc01742
WP_011650066.1	SMc01745
WP_011652643.1	SMc01749
WP_011653349.1	SMc01551
WP_011652867.1	SMc01556
WP_011651998.1	SMc01557
WP_011652870.1	SMc01559
WP_011652871.1	SMc01560
WP_003545252.1	SMc01561
WP_003541605.1	SMc01562
WP_011652885.1	SMc01563
WP_011652887.1	SMc01564
WP_011652888.1	SMc01565
WP_011652890.1	SMc01566
WP_011652891.1	SMc01567
WP_011652893.1	SMc01568
WP_011652894.1	SMc01569
WP_011650149.1	SMc01570
WP_011652923.1	SMc01578
WP_041936407.1	SMc01581
WP_011652926.1	SMc01583
